barcode	disease	BAM_path
TCGA-BA-6868-01B-12R-1915-07	HNSC	/gscmnt/ams1100/info/alignment_data/imported/2891008391/all_sequences.bam
TCGA-BA-6869-01A-11R-1873-07	HNSC	/gscmnt/ams1100/info/alignment_data/imported/2891008419/all_sequences.bam
TCGA-BA-6870-01A-11R-1873-07	HNSC	/gscmnt/gc8003/info/alignment_data/imported/2891008389/all_sequences.bam
TCGA-BA-6871-01A-11R-1873-07	HNSC	/gscmnt/gc8003/info/alignment_data/imported/2891008420/all_sequences.bam
TCGA-BA-6872-01A-11R-1873-07	HNSC	/gscmnt/ams1148/info/alignment_data/imported/2891008473/all_sequences.bam
TCGA-BA-6873-01A-11R-1873-07	HNSC	/gscmnt/gc2012/info/alignment_data/imported/2891008516/all_sequences.bam
TCGA-BA-7269-01A-11R-2016-07	HNSC	/gscmnt/gc2009/info/alignment_data/imported/2891008481/all_sequences.bam
TCGA-BA-A4IF-01A-11R-A266-07	HNSC	/gscmnt/gc7000/info/alignment_data/imported/3291666abe3d4b97b5587316b6ce88bb/all_sequences.bam
TCGA-BA-A4IG-01A-11R-A266-07	HNSC	/gscmnt/gc7000/info/alignment_data/imported/ac057eef5d3e4c0695c78c299985a99a/all_sequences.bam
TCGA-BA-A4IH-01A-11R-A266-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/0f8085b40d604044ba17dc0f90f29210/all_sequences.bam
TCGA-BA-A4II-01A-11R-A266-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/7ab97dccde9e4b7b876671b0a66a4ced/all_sequences.bam
TCGA-BA-A6D8-01A-31R-A31N-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/e3ca4e1e7c06476492b90721d245e612/all_sequences.bam
TCGA-BA-A6DA-01A-31R-A31N-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/b734cdb3f279428c886cea6921c30443/all_sequences.bam
TCGA-BA-A6DB-01A-11R-A30B-07	HNSC	/gscmnt/gc7000/info/alignment_data/imported/94ca9391803240758fc2d50bda628327/all_sequences.bam
TCGA-BA-A6DD-01A-12R-A31N-07	HNSC	/gscmnt/gc7000/info/alignment_data/imported/8125be24a4d247eda01dd289a68e25fb/all_sequences.bam
TCGA-BA-A6DE-01A-22R-A31N-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/d57979c1f7ee4b22b46dcf7cac78ea17/all_sequences.bam
TCGA-BA-A6DG-01A-21R-A30B-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/52df7b786fc1451cb76c9a5c84b29b02/all_sequences.bam
TCGA-BA-A6DI-01A-11R-A30B-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/bdaeb5785a274f908cbd5a5e5431a935/all_sequences.bam
TCGA-BA-A6DJ-01A-11R-A30B-07	HNSC	/gscmnt/gc7000/info/alignment_data/imported/b6cb720707304d869bfd8d0a69fd4db3/all_sequences.bam
TCGA-BA-A6DL-01A-21R-A30B-07	HNSC	/gscmnt/gc7000/info/alignment_data/imported/ee30f8d1205c48a5a62e80ae48e287a6/all_sequences.bam
TCGA-BB-4217-01A-11R-2081-07	HNSC	/gscmnt/gc2009/info/alignment_data/imported/2891008482/all_sequences.bam
TCGA-BB-4223-01A-01R-1436-07	HNSC	/gscmnt/ams1178/info/alignment_data/imported/2891008518/all_sequences.bam
TCGA-BB-4224-01A-01R-1436-07	HNSC	/gscmnt/ams1176/info/alignment_data/imported/2891008519/all_sequences.bam
TCGA-BB-4225-01A-01R-1436-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/2892786271/all_sequences.bam
TCGA-BB-4228-01A-01R-1436-07	HNSC	/gscmnt/gc1400/info/alignment_data/imported/2891008517/all_sequences.bam
TCGA-BB-7861-01A-11R-2232-07	HNSC	/gscmnt/ams1142/info/alignment_data/imported/2891008491/all_sequences.bam
TCGA-BB-7862-01A-21R-2232-07	HNSC	/gscmnt/gc7000/info/alignment_data/imported/2892786418/all_sequences.bam
TCGA-BB-7863-01A-11R-2232-07	HNSC	/gscmnt/gc9007/info/alignment_data/imported/2891024282/all_sequences.bam
TCGA-BB-7864-01A-11R-2232-07	HNSC	/gscmnt/gc9007/info/alignment_data/imported/2891024283/all_sequences.bam
TCGA-BB-7866-01A-11R-2232-07	HNSC	/gscmnt/ams1100/info/alignment_data/imported/2891024294/all_sequences.bam
TCGA-BB-7870-01A-11R-2232-07	HNSC	/gscmnt/ams1106/info/alignment_data/imported/2891024312/all_sequences.bam
TCGA-BB-7871-01A-11R-2232-07	HNSC	/gscmnt/gc12003/info/alignment_data/imported/2891024295/all_sequences.bam
TCGA-BB-7872-01A-11R-2232-07	HNSC	/gscmnt/gc8000/info/alignment_data/imported/2892786283/all_sequences.bam
TCGA-BB-8596-01A-11R-2403-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/4e243e1084824b92a2f1dab0fd23047b/all_sequences.bam
TCGA-BB-8601-01A-11R-2403-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/3919d8e3adb14db9a06ff9450ca66412/all_sequences.bam
TCGA-BB-A5HU-01A-11R-A28V-07	HNSC	/gscmnt/gc7000/info/alignment_data/imported/6f0425e575f64e32be8c54e49ab11ad8/all_sequences.bam
TCGA-BB-A5HY-01A-11R-A28V-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/bbfe231451a84508b9be3000d0c62a5a/all_sequences.bam
TCGA-BB-A5HZ-01A-21R-A28V-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/ce50025d044d4bd783168b84c9587ed8/all_sequences.bam
TCGA-BB-A6UM-01A-12R-A34R-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/359528802fd64479b724ad2e3586a9c2/all_sequences.bam
TCGA-BB-A6UO-01A-12R-A34R-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/594e7516872b41408c910f0957c6665a/all_sequences.bam
TCGA-BL-A0C8-01A-11R-A10U-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892223450/all_sequences.bam
TCGA-BL-A0C8-01A-11R-A277-07	BLCA	/gscmnt/gc2009/info/alignment_data/imported/0B1CA6EAF0D511E3A58ED93500858ECE/all_sequences.bam
TCGA-BL-A0C8-01B-04R-A277-07	BLCA	/gscmnt/gc2008/info/alignment_data/imported/515C66C8F0C011E3BD5A35FE42FCFF50/all_sequences.bam
TCGA-BL-A13I-01A-11R-A13Y-07	BLCA	/gscmnt/gc8003/info/alignment_data/imported/2892223447/all_sequences.bam
TCGA-BL-A13I-01A-11R-A277-07	BLCA	/gscmnt/ams1176/info/alignment_data/imported/85AD2426F0D911E39EA66BFC844D2FB2/all_sequences.bam
TCGA-BL-A13I-01B-04R-A277-07	BLCA	/gscmnt/gc12003/info/alignment_data/imported/8EED8E54F0CF11E38C06EEB85C6BCD28/all_sequences.bam
TCGA-BL-A13J-01A-11R-A10U-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892223451/all_sequences.bam
TCGA-BL-A13J-01A-11R-A277-07	BLCA	/gscmnt/gc12000/info/alignment_data/imported/EF029A4AF0C611E39762538FEDBD5F3A/all_sequences.bam
TCGA-BL-A13J-01B-04R-A277-07	BLCA	/gscmnt/gc2006/info/alignment_data/imported/B34D36C4F0C411E382EED7CDF09D1844/all_sequences.bam
TCGA-BL-A3JM-01A-12R-A21D-07	BLCA	/gscmnt/gc8003/info/alignment_data/imported/2892223461/all_sequences.bam
TCGA-BL-A5ZZ-01A-31R-A30C-07	BLCA	/gscmnt/gc1400/info/alignment_data/imported/747DA3C0F0D311E39F6B734D5E2A0D90/all_sequences.bam
TCGA-BT-A0S7-01A-11R-A10U-07	BLCA	/gscmnt/gc8000/info/alignment_data/imported/2892223462/all_sequences.bam
TCGA-BT-A0YX-01A-11R-A10U-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892223463/all_sequences.bam
TCGA-BT-A20J-01A-11R-A14Y-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892233161/all_sequences.bam
TCGA-BT-A20N-01A-11R-A14Y-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892224143/all_sequences.bam
TCGA-BT-A20O-01A-21R-A14Y-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892224144/all_sequences.bam
TCGA-BT-A20P-01A-11R-A14Y-07	BLCA	/gscmnt/ams1148/info/alignment_data/imported/2892224136/all_sequences.bam
TCGA-BT-A20Q-01A-11R-A14Y-07	BLCA	/gscmnt/gc8000/info/alignment_data/imported/2892224134/all_sequences.bam
TCGA-BT-A20R-01A-12R-A16R-07	BLCA	/gscmnt/gc1400/info/alignment_data/imported/2892248182/all_sequences.bam
TCGA-BT-A20T-01A-11R-A14Y-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892224180/all_sequences.bam
TCGA-BT-A20U-01A-11R-A14Y-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892224183/all_sequences.bam
TCGA-BT-A20V-01A-11R-A14Y-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892224181/all_sequences.bam
TCGA-BT-A20W-01A-21R-A14Y-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892233007/all_sequences.bam
TCGA-BT-A20X-01A-11R-A16R-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892224283/all_sequences.bam
TCGA-BT-A2LA-01A-11R-A18C-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892224285/all_sequences.bam
TCGA-BT-A2LB-01A-11R-A18C-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892224359/all_sequences.bam
TCGA-BT-A2LD-01A-12R-A20F-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892224207/all_sequences.bam
TCGA-BT-A3PH-01A-11R-A220-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892224202/all_sequences.bam
TCGA-BT-A3PJ-01A-21R-A220-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892224197/all_sequences.bam
TCGA-BT-A3PK-01A-21R-A220-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892224199/all_sequences.bam
TCGA-BT-A42C-01A-11R-A23N-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892224198/all_sequences.bam
TCGA-BT-A42E-01A-11R-A23W-07	BLCA	/gscmnt/gc9007/info/alignment_data/imported/2892248196/all_sequences.bam
TCGA-BT-A42F-01A-11R-A23W-07	BLCA	/gscmnt/ams1148/info/alignment_data/imported/2892224417/all_sequences.bam
TCGA-C4-A0EZ-01A-21R-A24X-07	BLCA	/gscmnt/ams1146/info/alignment_data/imported/2892224381/all_sequences.bam
TCGA-C4-A0F0-01A-12R-A10U-07	BLCA	/gscmnt/ams1176/info/alignment_data/imported/2892224419/all_sequences.bam
TCGA-C4-A0F1-01A-11R-A034-07	BLCA	/gscmnt/ams1175/info/alignment_data/imported/2892224423/all_sequences.bam
TCGA-C4-A0F6-01A-11R-A10U-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892224384/all_sequences.bam
TCGA-C4-A0F7-01A-11R-A084-07	BLCA	/gscmnt/ams1148/info/alignment_data/imported/2892224418/all_sequences.bam
TCGA-C9-A47Z-01A-11R-A24H-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/2316c2b866734cd3bf10535d3ec7dc55/all_sequences.bam
TCGA-C9-A480-01A-12R-A24H-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/f532de170ab94ff49b9e6637a0a3a2ae/all_sequences.bam
TCGA-CF-A1HR-01A-11R-A13Y-07	BLCA	/gscmnt/gc9007/info/alignment_data/imported/2892224466/all_sequences.bam
TCGA-CF-A1HS-01A-11R-A13Y-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892224431/all_sequences.bam
TCGA-CF-A27C-01A-11R-A16R-07	BLCA	/gscmnt/ams1175/info/alignment_data/imported/2892224435/all_sequences.bam
TCGA-CF-A3MF-01A-12R-A21D-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892224463/all_sequences.bam
TCGA-CF-A3MG-01A-11R-A20F-07	BLCA	/gscmnt/ams1146/info/alignment_data/imported/2892224443/all_sequences.bam
TCGA-CF-A3MH-01A-11R-A20F-07	BLCA	/gscmnt/gc9007/info/alignment_data/imported/2892224462/all_sequences.bam
TCGA-CF-A3MI-01A-11R-A20F-07	BLCA	/gscmnt/ams1148/info/alignment_data/imported/2892224406/all_sequences.bam
TCGA-CF-A47S-01A-11R-A23W-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892224432/all_sequences.bam
TCGA-CF-A47T-01A-11R-A23W-07	BLCA	/gscmnt/ams1146/info/alignment_data/imported/2892224440/all_sequences.bam
TCGA-CF-A47V-01A-11R-A23W-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892233003/all_sequences.bam
TCGA-CF-A47W-01A-11R-A23W-07	BLCA	/gscmnt/gc13000/info/alignment_data/imported/2892233004/all_sequences.bam
TCGA-CF-A47X-01A-31R-A23W-07	BLCA	/gscmnt/gc1400/info/alignment_data/imported/2892224570/all_sequences.bam
TCGA-CF-A47Y-01A-11R-A23W-07	BLCA	/gscmnt/ams1178/info/alignment_data/imported/2892224574/all_sequences.bam
TCGA-CF-A5U8-01A-11R-A28M-07	BLCA	/gscmnt/gc1400/info/alignment_data/imported/4DDC924CF0CB11E3B7FF53B73E1DDD64/all_sequences.bam
TCGA-CF-A5UA-01A-11R-A28M-07	BLCA	/gscmnt/gc2007/info/alignment_data/imported/A0DBB410F0BB11E3BB96804163FE56B4/all_sequences.bam
TCGA-CF-A7I0-01A-22R-A352-07	BLCA	/gscmnt/ams1179/info/alignment_data/imported/0F70451EF0D311E3BBA3846EDB1234E2/all_sequences.bam
TCGA-CF-A8HX-01A-11R-A36F-07	BLCA	/gscmnt/gc7000/info/alignment_data/imported/107ce58c40da43fe9385e543f2a145a5/all_sequences.bam
TCGA-CF-A8HY-01A-11R-A36F-07	BLCA	/gscmnt/gc7000/info/alignment_data/imported/093832c39cf246f5a16c8bf0787d352b/all_sequences.bam
TCGA-CF-A9FF-01A-11R-A38B-07	BLCA	/gscmnt/gc7000/info/alignment_data/imported/d6ec2fe500bb4d03b9075ae527b98c31/all_sequences.bam
TCGA-CF-A9FH-01A-11R-A38B-07	BLCA	/gscmnt/gc7000/info/alignment_data/imported/9795056c23594719a8ecbb78fa9ef021/all_sequences.bam
TCGA-CF-A9FL-01A-11R-A38B-07	BLCA	/gscmnt/gc7000/info/alignment_data/imported/8d820466c1494e58a2e25b1b7b81a6ff/all_sequences.bam
TCGA-CF-A9FM-01A-11R-A38B-07	BLCA	/gscmnt/gc7000/info/alignment_data/imported/7a91df8e78de4b09af6fe358e1459b98/all_sequences.bam
TCGA-CN-4722-01A-01R-1436-07	HNSC	/gscmnt/gc12003/info/alignment_data/imported/2891024285/all_sequences.bam
TCGA-CN-4723-01A-01R-1436-07	HNSC	/gscmnt/ams1174/info/alignment_data/imported/2891024309/all_sequences.bam
TCGA-CN-4725-01A-01R-1436-07	HNSC	/gscmnt/ams1175/info/alignment_data/imported/2891024310/all_sequences.bam
TCGA-CN-4726-01A-01R-1436-07	HNSC	/gscmnt/gc8000/info/alignment_data/imported/2891024284/all_sequences.bam
TCGA-CN-4727-01A-01R-1436-07	HNSC	/gscmnt/ams1136/info/alignment_data/imported/2891036105/all_sequences.bam
TCGA-CN-4728-01A-01R-1436-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/2892786902/all_sequences.bam
TCGA-CN-4729-01A-01R-1436-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/2892786911/all_sequences.bam
TCGA-CN-4730-01A-01R-1436-07	HNSC	/gscmnt/ams1146/info/alignment_data/imported/2891036076/all_sequences.bam
TCGA-CN-4731-01A-01R-1436-07	HNSC	/gscmnt/ams1142/info/alignment_data/imported/2891036073/all_sequences.bam
TCGA-CN-4733-01A-02R-1873-07	HNSC	/gscmnt/ams1142/info/alignment_data/imported/2891075297/all_sequences.bam
TCGA-CN-4734-01A-01R-1436-07	HNSC	/gscmnt/ams1104/info/alignment_data/imported/2891036065/all_sequences.bam
TCGA-CN-4735-01A-01R-1436-07	HNSC	/gscmnt/gc12003/info/alignment_data/imported/2891036070/all_sequences.bam
TCGA-CN-4736-01A-01R-1436-07	HNSC	/gscmnt/gc12003/info/alignment_data/imported/2891036071/all_sequences.bam
TCGA-CN-4737-01A-01R-1436-07	HNSC	/gscmnt/gc2009/info/alignment_data/imported/2891036079/all_sequences.bam
TCGA-CN-4738-01A-02R-1514-07	HNSC	/gscmnt/ams1135/info/alignment_data/imported/2891038250/all_sequences.bam
TCGA-CN-4739-01A-02R-1514-07	HNSC	/gscmnt/ams1174/info/alignment_data/imported/2891038308/all_sequences.bam
TCGA-CN-4740-01A-01R-1436-07	HNSC	/gscmnt/ams1133/info/alignment_data/imported/2891038309/all_sequences.bam
TCGA-CN-4741-01A-01R-1436-07	HNSC	/gscmnt/gc8003/info/alignment_data/imported/2891038305/all_sequences.bam
TCGA-CN-4742-01A-02R-1514-07	HNSC	/gscmnt/gc8003/info/alignment_data/imported/2891038295/all_sequences.bam
TCGA-CN-5355-01A-01R-1436-07	HNSC	/gscmnt/gc8000/info/alignment_data/imported/2892787078/all_sequences.bam
TCGA-CN-5356-01A-01R-1436-07	HNSC	/gscmnt/gc2012/info/alignment_data/imported/2891075296/all_sequences.bam
TCGA-CN-5358-01A-01R-1514-07	HNSC	/gscmnt/gc2012/info/alignment_data/imported/2891038294/all_sequences.bam
TCGA-CN-5359-01A-01R-1436-07	HNSC	/gscmnt/gc2012/info/alignment_data/imported/2891038254/all_sequences.bam
TCGA-CN-5360-01A-01R-1436-07	HNSC	/gscmnt/ams1144/info/alignment_data/imported/2891038244/all_sequences.bam
TCGA-CN-5361-01A-01R-1436-07	HNSC	/gscmnt/ams1144/info/alignment_data/imported/2891038300/all_sequences.bam
TCGA-CN-5363-01A-01R-1436-07	HNSC	/gscmnt/ams1100/info/alignment_data/imported/2891041701/all_sequences.bam
TCGA-CN-5364-01A-01R-1436-07	HNSC	/gscmnt/ams1100/info/alignment_data/imported/2891041698/all_sequences.bam
TCGA-CN-5365-01A-01R-1436-07	HNSC	/gscmnt/ams1100/info/alignment_data/imported/2891041693/all_sequences.bam
TCGA-CN-5366-01A-01R-1436-07	HNSC	/gscmnt/ams1100/info/alignment_data/imported/2891041689/all_sequences.bam
TCGA-CN-5367-01A-01R-1436-07	HNSC	/gscmnt/gc2008/info/alignment_data/imported/2891041587/all_sequences.bam
TCGA-CN-5369-01A-01R-1436-07	HNSC	/gscmnt/gc12000/info/alignment_data/imported/2891041688/all_sequences.bam
TCGA-CN-5370-01A-01R-2016-07	HNSC	/gscmnt/gc9007/info/alignment_data/imported/2891041697/all_sequences.bam
TCGA-CN-5373-01A-01R-1436-07	HNSC	/gscmnt/gc9007/info/alignment_data/imported/2891054653/all_sequences.bam
TCGA-CN-5374-01A-01R-1436-07	HNSC	/gscmnt/gc1400/info/alignment_data/imported/2891041685/all_sequences.bam
TCGA-CN-6010-01A-11R-1686-07	HNSC	/gscmnt/gc1400/info/alignment_data/imported/2891054581/all_sequences.bam
TCGA-CN-6011-01A-11R-1686-07	HNSC	/gscmnt/gc1400/info/alignment_data/imported/2891054578/all_sequences.bam
TCGA-CN-6012-01A-11R-1686-07	HNSC	/gscmnt/gc2008/info/alignment_data/imported/2891054645/all_sequences.bam
TCGA-CN-6013-01A-11R-1686-07	HNSC	/gscmnt/gc2008/info/alignment_data/imported/2891054577/all_sequences.bam
TCGA-CN-6016-01A-11R-1686-07	HNSC	/gscmnt/ams1140/info/alignment_data/imported/2891054643/all_sequences.bam
TCGA-CN-6017-01A-11R-1686-07	HNSC	/gscmnt/ams1140/info/alignment_data/imported/2891054636/all_sequences.bam
TCGA-CN-6018-01A-11R-1686-07	HNSC	/gscmnt/ams1140/info/alignment_data/imported/2891054633/all_sequences.bam
TCGA-CN-6019-01A-11R-1686-07	HNSC	/gscmnt/ams1140/info/alignment_data/imported/2891054644/all_sequences.bam
TCGA-CN-6020-01A-11R-1686-07	HNSC	/gscmnt/ams1140/info/alignment_data/imported/2891054632/all_sequences.bam
TCGA-CN-6021-01A-11R-1686-07	HNSC	/gscmnt/gc9007/info/alignment_data/imported/2891054829/all_sequences.bam
TCGA-CN-6022-01A-21R-1686-07	HNSC	/gscmnt/gc9007/info/alignment_data/imported/2891055346/all_sequences.bam
TCGA-CN-6023-01A-11R-1686-07	HNSC	/gscmnt/gc9007/info/alignment_data/imported/2891055380/all_sequences.bam
TCGA-CN-6024-01A-11R-1686-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/2891066307/all_sequences.bam
TCGA-CN-6988-01A-11R-1915-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/2891055333/all_sequences.bam
TCGA-CN-6989-01A-11R-1915-07	HNSC	/gscmnt/gc2008/info/alignment_data/imported/2891055382/all_sequences.bam
TCGA-CN-6992-01A-11R-1915-07	HNSC	/gscmnt/gc2008/info/alignment_data/imported/2891055381/all_sequences.bam
TCGA-CN-6994-01A-11R-1915-07	HNSC	/gscmnt/gc2008/info/alignment_data/imported/2891055348/all_sequences.bam
TCGA-CN-6995-01A-31R-2016-07	HNSC	/gscmnt/ams1100/info/alignment_data/imported/2891055334/all_sequences.bam
TCGA-CN-6996-01A-11R-1915-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/0c9597aa6dd2406a817cd922eb9b3304/all_sequences.bam
TCGA-CN-6997-01A-11R-2016-07	HNSC	/gscmnt/gc1400/info/alignment_data/imported/2891055375/all_sequences.bam
TCGA-CN-6998-01A-23R-2016-07	HNSC	/gscmnt/gc7000/info/alignment_data/imported/2892787235/all_sequences.bam
TCGA-CN-A497-01A-11R-A24H-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/17462db6fcff4ce7b0cbbc7932139096/all_sequences.bam
TCGA-CN-A498-01A-11R-A24H-07	HNSC	/gscmnt/gc7000/info/alignment_data/imported/95e73dba014c4399a6d8f88d77be036c/all_sequences.bam
TCGA-CN-A499-01A-11R-A24H-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/5a162e8fa9444953b9af0c32f14baadc/all_sequences.bam
TCGA-CN-A49A-01A-11R-A24H-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/87652f5a4ee74051b38b41f0ae24a3b7/all_sequences.bam
TCGA-CN-A49B-01A-31R-A24H-07	HNSC	/gscmnt/gc7000/info/alignment_data/imported/d6cd28f673b9473bb7a2e4080bc3db69/all_sequences.bam
TCGA-CN-A49C-01A-11R-A24H-07	HNSC	/gscmnt/gc7000/info/alignment_data/imported/5f10d331aabe4923ad7b99639b8788b4/all_sequences.bam
TCGA-CN-A63T-01A-11R-A28V-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/a72e882e4124407aa1dc20005b082170/all_sequences.bam
TCGA-CN-A63U-01A-11R-A30B-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/a51f417098d94058a56940b469d38ebd/all_sequences.bam
TCGA-CN-A63W-01A-11R-A30B-07	HNSC	/gscmnt/gc7000/info/alignment_data/imported/ac46b07afbbf495fb935abde36e99a6e/all_sequences.bam
TCGA-CN-A641-01A-11R-A30B-07	HNSC	/gscmnt/gc7000/info/alignment_data/imported/cd239982d10d48148f72745bcaf079df/all_sequences.bam
TCGA-CN-A642-01A-12R-A30B-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/466e559b9a96416999aef7934acf058c/all_sequences.bam
TCGA-CN-A6UY-01A-12R-A34R-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/1b209e68c5754751a489b60cbdbf75d7/all_sequences.bam
TCGA-CN-A6V1-01A-12R-A34R-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/446d28575a384fa0826e5d188cb1cddc/all_sequences.bam
TCGA-CN-A6V3-01A-12R-A34R-07	HNSC	/gscmnt/gc7000/info/alignment_data/imported/1d2e2e97d7874c10ae04cd4402bf02a2/all_sequences.bam
TCGA-CN-A6V6-01A-12R-A34R-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/4c4cef3c76764fbda1c94b2ed9c2e2d2/all_sequences.bam
TCGA-CN-A6V7-01A-12R-A34R-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/e58aa6a0c1304a1f9f84b29d030b2a36/all_sequences.bam
TCGA-CQ-5323-01A-01R-1686-07	HNSC	/gscmnt/ams1106/info/alignment_data/imported/2891055345/all_sequences.bam
TCGA-CQ-5324-01A-01R-1686-07	HNSC	/gscmnt/ams1106/info/alignment_data/imported/2891056107/all_sequences.bam
TCGA-CQ-5325-01A-01R-1686-07	HNSC	/gscmnt/ams1106/info/alignment_data/imported/2891056095/all_sequences.bam
TCGA-CQ-5326-01A-01R-1873-07	HNSC	/gscmnt/ams1106/info/alignment_data/imported/2891056094/all_sequences.bam
